time_min,cashier_queue,usher_queue,food_queue,cashiers_busy,ushers_busy,servers_busy,total_served
43.75,103,0,14,5,0,3,96
44.0,104,0,14,5,0,3,96
44.25,103,0,14,5,0,3,99
44.5,104,0,14,5,0,3,99
44.75,105,0,14,5,0,3,99
45.0,106,0,14,5,0,3,99
45.25,107,0,12,5,1,3,101
45.5,107,0,14,5,0,3,101
45.75,108,0,14,5,0,3,101
46.0,109,0,14,5,0,3,101
46.25,109,0,14,5,1,3,102
46.5,110,0,14,5,0,3,103
46.75,111,0,14,5,0,3,103
47.0,112,0,14,5,0,3,103
47.25,112,0,13,5,0,3,106
47.5,113,0,13,5,0,3,106
47.75,114,0,13,5,0,3,106
48.0,115,0,13,5,0,3,106
48.25,116,0,14,5,0,3,106
48.5,116,0,14,5,0,3,107
48.75,117,0,14,5,0,3,107
49.0,118,0,14,5,0,3,107
49.25,117,0,13,5,1,3,110
49.5,118,0,14,5,0,3,110
49.75,119,0,14,5,0,3,110
50.0,120,0,14,5,0,3,110
50.25,121,0,13,5,0,3,112
50.5,122,0,13,5,0,3,112
50.75,123,0,13,5,0,3,112
51.0,124,0,13,5,0,3,112
51.25,123,0,14,5,0,3,114
51.5,123,0,14,5,0,3,115
51.75,124,0,14,5,0,3,115
52.0,125,0,14,5,0,3,115
52.25,124,0,15,5,1,3,116
52.5,124,0,16,5,0,3,117
52.75,125,0,16,5,0,3,117
53.0,126,0,16,5,0,3,117
53.25,127,0,15,5,0,3,119
53.5,128,0,15,5,0,3,119
53.75,129,0,15,5,0,3,119
54.0,130,0,15,5,0,3,119
54.25,131,0,14,5,0,3,121
54.5,132,0,14,5,0,3,121
54.75,133,0,14,5,0,3,121
55.0,134,0,14,5,0,3,121
55.25,132,0,13,5,1,3,125
55.5,132,0,14,5,0,3,126
55.75,133,0,14,5,0,3,126
56.0,134,0,14,5,0,3,126
56.25,135,0,15,5,0,3,126
56.5,135,0,15,5,0,3,127
56.75,136,0,15,5,0,3,127
57.0,137,0,15,5,0,3,127
57.25,138,0,12,5,1,3,130
57.5,138,0,12,5,0,3,132
57.75,139,0,12,5,0,3,132
58.0,140,0,12,5,0,3,132
58.25,139,0,15,5,0,3,132
58.5,140,0,15,5,0,3,132
58.75,141,0,15,5,0,3,132
59.0,142,0,15,5,0,3,132
59.25,142,0,15,5,0,3,134
59.5,143,0,15,5,0,3,134
59.75,144,0,15,5,0,3,134
60.0,145,0,15,5,0,3,134
60.25,146,0,13,5,1,3,136
60.5,146,0,14,5,0,3,137
60.75,147,0,14,5,0,3,137
61.0,148,0,14,5,0,3,137
61.25,147,0,14,5,1,3,139
61.5,147,0,16,5,0,3,139
61.75,148,0,16,5,0,3,139
62.0,149,0,16,5,0,3,139
62.25,149,0,18,5,0,3,139
62.5,149,0,18,5,0,3,140
62.75,150,0,18,5,0,3,140
63.0,151,0,18,5,0,3,140
63.25,152,0,16,5,0,3,143
63.5,153,0,16,5,0,3,143
63.75,154,0,16,5,0,3,143
64.0,155,0,16,5,0,3,143
64.25,154,0,16,5,1,3,145
64.5,155,0,16,5,0,3,146
64.75,156,0,16,5,0,3,146
65.0,157,0,16,5,0,3,146
65.25,157,0,17,5,0,3,147
65.5,157,0,17,5,0,3,148
65.75,158,0,17,5,0,3,148
66.0,159,0,17,5,0,3,148
66.25,158,0,15,5,1,3,152
66.5,159,0,16,5,0,3,152
66.75,160,0,16,5,0,3,152
67.0,161,0,16,5,0,3,152
67.25,161,0,16,5,0,3,154
67.5,161,0,16,5,0,3,155
67.75,162,0,16,5,0,3,155
68.0,163,0,16,5,0,3,155
68.25,162,0,15,5,1,3,158
68.5,162,0,17,5,0,3,158
68.75,163,0,17,5,0,3,158
69.0,164,0,17,5,0,3,158
69.25,165,0,17,5,0,3,159
69.5,166,0,17,5,0,3,159
69.75,167,0,17,5,0,3,159
70.0,168,0,17,5,0,3,159
70.25,169,0,18,5,0,3,159
70.5,169,0,18,5,0,3,160
70.75,170,0,18,5,0,3,160
71.0,171,0,18,5,0,3,160
71.25,169,0,18,5,1,3,163
71.5,170,0,18,5,0,3,164
71.75,171,0,18,5,0,3,164
72.0,172,0,18,5,0,3,164
72.25,173,0,18,5,0,3,165
72.5,173,0,18,5,0,3,166
72.75,174,0,18,5,0,3,166
73.0,175,0,18,5,0,3,166
73.25,176,0,17,5,0,3,168
73.5,177,0,17,5,0,3,168
73.75,178,0,17,5,0,3,168
74.0,179,0,17,5,0,3,168
74.25,178,0,17,5,1,3,170
74.5,179,0,18,5,0,3,170
74.75,180,0,18,5,0,3,170
75.0,181,0,18,5,0,3,170
75.25,183,0,17,5,0,3,171
75.5,183,0,18,5,0,3,171
75.75,184,0,18,5,0,3,171
76.0,185,0,18,5,0,3,171
76.25,185,0,18,5,0,3,173
76.5,186,0,18,5,0,3,173
76.75,187,0,18,5,0,3,173
77.0,188,0,18,5,0,3,173
77.25,188,0,17,5,1,3,175
77.5,188,0,18,5,0,3,176
77.75,189,0,18,5,0,3,176
78.0,190,0,18,5,0,3,176
78.25,191,0,17,5,0,3,178
78.5,192,0,17,5,0,3,178
78.75,193,0,17,5,0,3,178
79.0,194,0,17,5,0,3,178
79.25,194,0,17,5,0,3,180
79.5,195,0,17,5,0,3,180
79.75,196,0,17,5,0,3,180
80.0,197,0,17,5,0,3,180
80.25,198,0,17,5,1,3,180
80.5,198,0,18,5,0,3,181
80.75,199,0,18,5,0,3,181
81.0,200,0,18,5,0,3,181
81.25,201,0,17,5,0,3,183
81.5,201,0,18,5,0,3,183
81.75,202,0,18,5,0,3,183
82.0,203,0,18,5,0,3,183
82.25,202,0,18,5,0,3,186
82.5,203,0,18,5,0,3,186
82.75,204,0,18,5,0,3,186
83.0,205,0,18,5,0,3,186
83.25,206,0,16,5,1,3,188
83.5,206,0,17,5,0,3,189
83.75,207,0,17,5,0,3,189
84.0,208,0,17,5,0,3,189
84.25,208,0,18,5,0,3,190
84.5,208,0,19,5,0,3,190
84.75,209,0,19,5,0,3,190
85.0,210,0,19,5,0,3,190
85.25,209,0,17,5,0,3,195
85.5,210,0,17,5,0,3,195
85.75,211,0,17,5,0,3,195
86.0,212,0,17,5,0,3,195
86.25,211,0,17,5,1,3,197
86.5,212,0,18,5,0,3,197
86.75,213,0,18,5,0,3,197
87.0,214,0,18,5,0,3,197
87.25,215,0,18,5,0,3,198
87.5,215,0,18,5,0,3,199
87.75,216,0,18,5,0,3,199
88.0,217,0,18,5,0,3,199
88.25,217,0,19,5,1,3,199
88.5,218,0,19,5,0,3,200
88.75,219,0,19,5,0,3,200
89.0,220,0,19,5,0,3,200
89.25,221,0,18,5,0,3,202
89.5,222,0,18,5,0,3,202
89.75,223,0,18,5,0,3,202
