time_min,cashier_queue,usher_queue,food_queue,cashiers_busy,ushers_busy,servers_busy,total_served,event,moviegoer,wait_time_min
9.6,2,0,0,10,0,8,31,join_cashier_queue,50,
9.6,2,0,0,9,0,8,31,ticket_purchased,35,
9.6,2,0,0,9,1,8,31,join_usher_queue,35,
9.6,1,0,0,10,1,8,31,start_ticket_check,35,
9.6,1,0,0,10,1,8,31,start_purchase,49,
9.65,1,0,0,10,0,8,31,ticket_checked,35,
9.65,1,0,0,10,0,9,31,join_food_queue,35,
9.65,1,0,0,10,0,9,31,start_food_order,35,
9.8,1,0,0,10,0,9,31,arrive,51,
9.8,2,0,0,10,0,9,31,join_cashier_queue,51,
9.8,2,0,0,9,0,9,31,ticket_purchased,41,
9.8,2,0,0,9,1,9,31,join_usher_queue,41,
9.8,1,0,0,10,1,9,31,start_ticket_check,41,
9.8,1,0,0,10,1,9,31,start_purchase,50,
9.85,1,0,0,10,1,8,31,food_received,31,
9.85,1,0,0,10,1,8,32,enter_theater,31,4.05
9.85,1,0,0,10,0,8,32,ticket_checked,41,
9.85,1,0,0,10,0,8,33,enter_theater,41,2.05
10.0,1,0,0,10,0,8,33,arrive,52,
10.0,2,0,0,10,0,8,33,join_cashier_queue,52,
10.0,2,0,0,9,0,8,33,ticket_purchased,36,
10.0,2,0,0,9,1,8,33,join_usher_queue,36,
10.0,1,0,0,10,1,8,33,start_ticket_check,36,
10.0,1,0,0,10,1,8,33,start_purchase,51,
10.05,1,0,0,10,0,8,33,ticket_checked,36,
10.05,1,0,0,10,0,9,33,join_food_queue,36,
10.05,1,0,0,10,0,9,33,start_food_order,36,
10.2,1,0,0,10,0,9,33,arrive,53,
10.2,2,0,0,10,0,9,33,join_cashier_queue,53,
10.2,2,0,0,9,0,9,33,ticket_purchased,43,
10.2,2,0,0,9,1,9,33,join_usher_queue,43,
10.2,1,0,0,10,1,9,33,start_ticket_check,43,
10.2,1,0,0,10,1,9,33,start_purchase,52,
10.25,1,0,0,10,0,9,33,ticket_checked,43,
10.25,1,0,0,10,0,10,33,join_food_queue,43,
10.25,1,0,0,10,0,10,33,start_food_order,43,
10.4,1,0,0,10,0,10,33,arrive,54,
10.4,2,0,0,10,0,10,33,join_cashier_queue,54,
10.45,2,0,0,10,0,9,33,food_received,24,
10.45,2,0,0,10,0,9,34,enter_theater,24,6.05
10.6,2,0,0,10,0,9,34,arrive,55,
10.6,3,0,0,10,0,9,34,join_cashier_queue,55,
